date,item_id,qty
,,mean
01.03.2013,30,399.0
01.04.2013,30,399.0
02.03.2013,30,399.0
02.03.2014,30,169.0
03.03.2013,30,399.0
05.03.2013,30,399.0
07.03.2013,30,399.0
11.03.2013,30,399.0
13.04.2013,30,399.0
14.02.2013,30,399.0
15.02.2013,30,399.0
16.02.2013,30,399.0
16.07.2013,30,399.0
17.02.2013,30,399.0
18.01.2015,30,169.0
18.02.2014,30,169.0
18.10.2013,30,134.6
19.03.2013,30,399.0
20.02.2013,30,399.0
20.04.2013,30,399.0
21.04.2013,30,399.0
22.02.2013,30,399.0
23.03.2014,30,169.0
24.02.2013,30,399.0
24.08.2013,30,399.0
27.03.2013,30,399.0
28.02.2013,30,399.0
29.03.2014,30,169.0
29.11.2014,30,169.0
02.08.2015,31,249.0
05.10.2013,31,699.0
07.04.2013,31,699.0
10.03.2013,31,699.0
10.09.2013,31,699.0
13.03.2013,31,699.0
14.02.2013,31,699.0
14.08.2015,31,199.0
16.02.2013,31,629.0
16.03.2013,31,699.0
17.02.2013,31,699.0
17.04.2013,31,699.0
18.02.2013,31,699.0
22.02.2013,31,699.0
23.08.2013,31,699.0
23.10.2013,31,499.0
24.02.2013,31,699.0
24.08.2015,31,199.0
26.12.2014,31,415.97
31.10.2015,31,399.0
01.01.2014,32,149.0
01.06.2013,32,349.0
02.01.2013,32,349.0
02.03.2014,32,149.0
03.01.2013,32,349.0
05.03.2015,32,149.0
05.04.2013,32,349.0
11.10.2013,32,149.0
12.03.2013,32,349.0
14.11.2013,32,149.0
17.02.2013,32,349.0
18.01.2015,32,148.7
21.10.2013,32,149.0
23.01.2015,32,149.0
24.01.2013,32,349.0
24.08.2013,32,349.0
25.11.2013,32,149.0
26.05.2013,32,349.0
29.06.2013,32,349.0
31.07.2013,32,349.0
01.05.2014,33,199.0
07.09.2013,33,199.0
15.11.2013,33,199.0
17.12.2014,33,199.0
21.07.2015,33,199.0
22.01.2014,33,199.0
27.06.2013,33,199.0
29.01.2014,33,199.0
03.08.2013,34,149.0
10.02.2013,34,149.0
12.06.2013,34,149.0
17.08.2013,34,149.0
02.02.2013,35,399.0
